Date;rubusd
30.05.2016;65.8817
27.05.2016;66.1814
26.05.2016;65.6353
25.05.2016;65.8779
24.05.2016;66.5788
23.05.2016;66.9203
20.05.2016;66.7132
19.05.2016;67.2979
18.05.2016;65.1659
17.05.2016;64.5441
16.05.2016;64.9401
13.05.2016;65.1718
12.05.2016;65.4116
11.05.2016;64.8752
10.05.2016;66.2038
06.05.2016;65.6824
05.05.2016;65.5281
04.05.2016;66.4707
29.04.2016;64.6879
28.04.2016;64.3457
27.04.2016;65.7431
26.04.2016;65.852
25.04.2016;66.4054
22.04.2016;66.533
21.04.2016;66.2532
20.04.2016;65.4714
19.04.2016;65.6173
18.04.2016;66.2774
15.04.2016;66.4008
14.04.2016;66.0073
13.04.2016;66.0024
12.04.2016;65.671
11.04.2016;66.6738
08.04.2016;67.2736
07.04.2016;68.1505
06.04.2016;67.8789
05.04.2016;69.1023
04.04.2016;68.2363
01.04.2016;67.8596
31.03.2016;67.2734
30.03.2016;67.6535
29.03.2016;68.9188
28.03.2016;68.404
25.03.2016;68.185
24.03.2016;69.4053
23.03.2016;68.4312
22.03.2016;67.4487
21.03.2016;67.8997
18.03.2016;68.1207
17.03.2016;68.1671
16.03.2016;70.513
15.03.2016;71.1242
14.03.2016;70.7511
11.03.2016;69.91
10.03.2016;71.1665
09.03.2016;70.986
07.03.2016;71.6798
04.03.2016;72.3137
03.03.2016;73.3211
02.03.2016;74.0084
01.03.2016;73.8787
29.02.2016;75.4022
26.02.2016;75.5577
25.02.2016;76.2226
24.02.2016;76.7467
22.02.2016;75.3824
20.02.2016;76.941
19.02.2016;77.8047
18.02.2016;75.6078
17.02.2016;75.7896
16.02.2016;77.9565
15.02.2016;77.4333
12.02.2016;78.8179
11.02.2016;80.3309
10.02.2016;78.2857
09.02.2016;78.6373
08.02.2016;78.0347
05.02.2016;77.2676
04.02.2016;76.2191
03.02.2016;78.9299
02.02.2016;79.0091
01.02.2016;76.4757
29.01.2016;75.4572
28.01.2016;76.7572
27.01.2016;78.1058
26.01.2016;78.6347
25.01.2016;79.3276
22.01.2016;78.28
21.01.2016;83.5966
20.01.2016;81.7509
19.01.2016;78.4923
18.01.2016;79.0151
15.01.2016;77.6122
14.01.2016;76.4029
13.01.2016;76.4976
12.01.2016;76.5756
11.01.2016;75.8013
06.01.2016;74.7748
05.01.2016;73.4283
04.01.2016;72.932
